request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,504.1706395568326,1138.6224084999412,43,20.0,503.83937603328377,1138.2911449763924,0.3312635235488415,block1:s1,gated_rule_c,mixed,1785168449.6412532,1785168449.6415846,1785168450.1454303,1785168450.7798822,,,
block1-000001,214.95654108002782,3868.1407030671835,176,25.0,214.33225693181157,3867.5164189189672,0.6242841482162476,block1:zero_tool,gated_rule_c,mixed,1785168449.6418033,1785168449.6424277,1785168449.8567636,1785168453.5099475,,,
block1-000002,313.90480406116694,949.95593407657,42,572.5,313.7296539498493,949.7807839652523,0.17515011131763458,block1:s1,gated_rule_c,mixed,1785168449.868782,1785168449.8689575,1785168450.182702,1785168450.8187532,,,
block1-000003,58.70889418292791,10638.058855198324,500,25.0,58.06706706061959,10637.417028076015,0.6418271223083138,block1:zero_tool,gated_rule_c,mixed,1785168450.2030144,1785168450.2036564,1785168450.2617364,1785168460.8410864,,,
block1-000004,126.97347183711827,3128.1166228000075,149,177.5,125.54679100867361,3126.689941971563,1.4266808284446597,block1:zero_tool,gated_rule_c,mixed,1785168450.2705295,1785168450.271957,1785168450.3975184,1785168453.398662,,,
block1-000005,120.35206379368901,1461.1466916976497,67,15.0,119.80022408533841,1460.594851989299,0.5518397083505988,block1:s1,gated_rule_c,mixed,1785168450.2770705,1785168450.2776227,1785168450.3974357,1785168451.73823,,,
block1-000006,66.45922956522554,4267.848723568022,209,85.0,65.49062498379499,4266.880118986592,0.9686045814305544,block1:zero_tool,gated_rule_c,mixed,1785168450.5235474,1785168450.5245166,1785168450.5900202,1785168454.7914095,,,
block1-000007,58.818686520680785,3392.222208552994,163,287.5,58.43690503388643,3391.8404270661995,0.38178148679435253,block1:zero_tool,gated_rule_c,mixed,1785168450.5312355,1785168450.5316184,1785168450.590069,1785168453.923473,,,
block1-000008,62.69405176863074,2566.5066407527775,121,412.5,62.12824408430606,2565.940833068453,0.5658076843246818,block1:zero_tool,gated_rule_c,mixed,1785168451.1707954,1785168451.1713614,1785168451.2335002,1785168453.7373123,,,
block1-000009,401.2729721143842,978.0928820837289,44,145.0,400.1671039732173,976.987013942562,1.1058681411668658,block1:s2,gated_rule_c,mixed,1785168451.2405746,1785168451.2416806,1785168451.6418586,1785168452.2186785,,,
block1-000010,96.80435294285417,3400.292912963778,164,117.5,96.43342404160649,3399.92198406253,0.3709289012476802,block1:zero_tool,gated_rule_c,mixed,1785168451.280534,1785168451.2809055,1785168451.3773472,1785168454.6808357,,,
block1-000011,318.5473434859887,896.4273284655064,43,287.5,317.80001102015376,895.6799959996715,0.7473324658349156,block1:s2,gated_rule_c,mixed,1785168451.5535457,1785168451.5542939,1785168451.8721042,1785168452.449984,,,
block1-000012,66.4354107575491,3195.595903787762,156,15.0,65.6387050403282,3194.799198070541,0.7967057172209024,block1:zero_tool,gated_rule_c,mixed,1785168452.3447516,1785168452.3455486,1785168452.411196,1785168455.540357,,,
block1-000013,387.45034020394087,1002.2800201550126,44,20.0,386.5657279966399,1001.3954079477116,0.884612207300961,block1:s2,gated_rule_c,mixed,1785168452.584179,1785168452.585064,1785168452.9716387,1785168453.5864685,,,
block1-000014,303.1102881068364,801.693985122256,36,12.5,302.2519079968333,800.8356050122529,0.8583801100030541,block1:s2,gated_rule_c,mixed,1785168452.8227885,1785168452.8236477,1785168453.1259096,1785168453.6244934,,,
block1-000015,281.1883889371529,768.22375995107,34,545.0,280.8722669724375,767.9076379863545,0.3161219647154212,block1:s2,gated_rule_c,mixed,1785168453.3803866,1785168453.380703,1785168453.6615868,1785168454.1486223,,,
