tool_ratio,qps,seed,policy,count,mean_wait,p95_wait,p99_wait,max_wait,starvation_count,mean_speedup_vs_fcfs,p95_speedup_vs_fcfs,p99_ratio_vs_fcfs
0.0,4.0,20260709,pure_ltr,500,1758.08,5939.769,30844.76,76564.566,29,2.166,1.005,4.548
0.0,4.0,20260709,ltr_aging,500,2298.383,6972.406,8552.931,11524.81,74,1.657,0.856,1.261
0.0,4.0,20260709,tail_safe,500,3807.931,5970.769,6782.14,6932.749,82,1.0,1.0,1.0
0.0,4.0,20260709,gated_hybrid,500,2298.383,6972.406,8552.931,11524.81,74,1.657,0.856,1.261
0.0,5.0,20260709,fcfs,500,21213.052,39042.774,39445.461,39855.397,440,1.0,1.0,1.0
0.0,5.0,20260709,pure_ltr,500,9262.714,72851.531,108417.314,121440.195,85,2.29,0.536,2.749
0.0,5.0,20260709,ltr_aging,500,13108.516,40709.709,51259.986,62660.497,299,1.618,0.959,1.3
0.0,5.0,20260709,tail_safe,500,21213.052,39042.774,39445.461,39855.397,440,1.0,1.0,1.0
0.0,5.0,20260709,gated_hybrid,500,13108.516,40709.709,51259.986,62660.497,299,1.618,0.959,1.3
0.0,2.0,101,fcfs,500,437.881,2219.207,2920.979,3346.44,0,1.0,1.0,1.0
0.0,2.0,101,pure_ltr,500,295.316,1110.393,3852.883,8254.157,3,1.483,1.999,1.319
0.0,2.0,101,ltr_aging,500,308.488,1392.732,3308.877,4367.237,0,1.419,1.593,1.133
0.0,2.0,101,tail_safe,500,437.881,2219.207,2920.979,3346.44,0,1.0,1.0,1.0
0.0,2.0,101,gated_hybrid,500,308.488,1392.732,3308.877,4367.237,0,1.419,1.593,1.133
0.0,3.0,101,fcfs,500,930.13,3412.759,4504.876,5139.259,1,1.0,1.0,1.0
0.0,3.0,101,pure_ltr,500,560.251,2523.279,5264.337,17534.661,7,1.66,1.353,1.169
0.0,3.0,101,ltr_aging,500,629.575,2530.209,4821.153,6696.751,3,1.477,1.349,1.07
0.0,3.0,101,tail_safe,500,930.13,3412.759,4504.876,5139.259,1,1.0,1.0,1.0
0.0,3.0,101,gated_hybrid,500,629.575,2530.209,4821.153,6696.751,3,1.477,1.349,1.07
0.0,4.0,101,fcfs,500,10615.477,25396.334,26539.096,27258.78,283,1.0,1.0,1.0
0.0,4.0,101,pure_ltr,500,4864.809,44241.203,69629.074,92503.354,59,2.182,0.574,2.624
0.0,4.0,101,ltr_aging,500,6704.713,25768.41,32693.748,43633.02,190,1.583,0.986,1.232
0.0,4.0,101,tail_safe,500,10615.477,25396.334,26539.096,27258.78,283,1.0,1.0,1.0
0.0,4.0,101,gated_hybrid,500,6704.713,25768.41,32693.748,43633.02,190,1.583,0.986,1.232
0.0,5.0,101,fcfs,500,18166.561,37554.887,38197.042,39266.945,417,1.0,1.0,1.0
0.0,5.0,101,pure_ltr,500,8707.934,69743.002,108244.925,133203.678,83,2.086,0.538,2.834
0.0,5.0,101,ltr_aging,500,11648.782,37161.435,47955.277,57084.819,294,1.56,1.011,1.255
0.0,5.0,101,tail_safe,500,18166.561,37554.887,38197.042,39266.945,417,1.0,1.0,1.0
0.0,5.0,101,gated_hybrid,500,11648.782,37161.435,47955.277,57084.819,294,1.56,1.011,1.255
0.0,2.0,202,fcfs,500,355.349,1476.253,1935.2,2690.361,0,1.0,1.0,1.0
0.0,2.0,202,pure_ltr,500,278.739,1187.747,2790.282,4750.499,0,1.275,1.243,1.442
0.0,2.0,202,ltr_aging,500,271.411,1202.792,2323.148,2797.103,0,1.309,1.227,1.2
0.0,2.0,202,tail_safe,500,355.349,1476.253,1935.2,2690.361,0,1.0,1.0,1.0
0.0,2.0,202,gated_hybrid,500,271.411,1202.792,2323.148,2797.103,0,1.309,1.227,1.2
0.0,3.0,202,fcfs,500,689.421,1914.32,2275.458,2914.775,0,1.0,1.0,1.0
0.0,3.0,202,pure_ltr,500,472.371,1760.288,4431.432,8934.65,4,1.459,1.088,1.947
0.0,3.0,202,ltr_aging,500,488.696,1860.15,2865.151,3524.64,0,1.411,1.029,1.259
0.0,3.0,202,tail_safe,500,689.421,1914.32,2275.458,2914.775,0,1.0,1.0,1.0
0.0,3.0,202,gated_hybrid,500,488.696,1860.15,2865.151,3524.64,0,1.411,1.029,1.259
0.0,4.0,202,fcfs,500,10784.731,17686.25,18343.468,18849.228,357,1.0,1.0,1.0
0.0,4.0,202,pure_ltr,500,5150.327,30504.375,103386.799,132390.178,64,2.094,0.58,5.636
0.0,4.0,202,ltr_aging,500,7214.445,20694.501,25940.393,30981.228,251,1.495,0.855,1.414
0.0,4.0,202,tail_safe,500,10784.731,17686.25,18343.468,18849.228,357,1.0,1.0,1.0
0.0,4.0,202,gated_hybrid,500,7214.445,20694.501,25940.393,30981.228,251,1.495,0.855,1.414
0.0,5.0,202,fcfs,500,21096.949,40363.018,41543.022,41798.557,428,1.0,1.0,1.0
0.0,5.0,202,pure_ltr,500,10037.518,82254.795,108045.172,130742.407,90,2.102,0.491,2.601
0.0,5.0,202,ltr_aging,500,13817.069,43504.279,53866.336,57155.469,314,1.527,0.928,1.297
